Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
182,13204,95031104,2025_HPSEB_120301_2,,,,,,,"Kangra, Himachal Pradesh, India",01-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
183,13206,95031192,2025_DHS_1252130_1,,,,,,,"Jalgaon, Maharashtra, India",16-12-2025,02-12-2025,,,,,,,,N/A,,0,,,,,
184,13207,95031854,GEM/2025/B/6932460,,,,,,,"Hisar, Haryana, India",17-12-2025,ref to doc,140,,,,,,,N/A,,0,,,,,
185,13208,95031877,GEM/2025/B/6932532,,,,,,,"Ambala, Haryana, India",17-12-2025,ref to doc,226,,,,,,,N/A,,0,,,,,
186,13209,95031912,GEM/2025/B/6932609,,,,,,,"Ambala, Haryana, India",17-12-2025,ref to doc,1878,,,,,,,N/A,,0,,,,,
187,13210,95031981,GEM/2025/B/6932848,,,,,,,"Mumbai, Maharashtra, India",18-12-2025,ref to doc,1032,,,,,,,N/A,,0,,,,,
188,13211,95032239,GEM/2025/B/6932919,,,,,,,"Malda, West Bengal, India",17-12-2025,ref to doc,3825,,,,,,,N/A,,0,,,,,
189,13212,95032262,GEM/2025/B/6916220,,,,,,,"Dibrugarh, Assam, India",12-12-2025,ref to doc,1513,,,,,,,N/A,,0,,,,,
190,13213,95032282,GEM/2025/B/6880078,,,,,,,"Srinagar, Jammu And Kashmir, India",06-12-2025,ref to doc,2,,,,,,,N/A,,0,,,,,
191,13218,95032852,GEM/2025/B/6932316,,,,,,,"Kapurthala, Punjab, India",16-12-2025,ref to doc,2,,,,,,,N/A,,0,,,,,
192,13221,95035073,2025_NAVY_741573_1,,,,,,,"Mumbai, Maharashtra, India",03-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
193,13222,95035090,2025_NAVY_741562_1,,,,,,,"Mumbai, Maharashtra, India",03-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
194,13224,95036307,GEM/2025/B/6929954,,,,,,,"Pune, Maharashtra, India",17-12-2025,ref to doc,1,,,,,,,N/A,,0,,,,,
195,13226,95017551,GEM/2025/B/6931945,,,,,,,"Indore, Madhya Pradesh, India",10-12-2025,ref to doc,5200,,,,,,,N/A,,0,,,,,
196,13227,95037696,GEM/2025/B/6926643,,,,,,,"Fatehpur, Uttar Pradesh, India",08-12-2025,ref to doc,234,,,,,,,N/A,,0,,,,,
197,13228,95031183,2025_DHS_1252125_1,,,,,,,"Jalgaon, Maharashtra, India",16-12-2025,02-12-2025,,,,,,,,N/A,,0,,,,,
