Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
218,10543,94370661,GEM/2025/B/6867306,,,,,,,"Gautam Budhnagar, Uttar Pradesh, India",02-12-2025,ref to doc,1,,,,,,,N/A,,4500000,,,,,
219,10834,94429716,2025_RNTMC_512191_3,,,,,,,"Udaipur, Rajasthan, India",01-12-2025,14-11-2025,,,,,,,,N/A,,4500000,,,,,
220,10957,94461951,MCU2526GLOB00255,,,,,,,"Udaipur, Rajasthan, India",01-12-2025,ref to doc,,,,,,,,N/A,,4500000,,,,,
221,11015,94470013,GEM/2025/B/6830896,,,,,,,"Thiruvananthapuram, Kerala, India",02-12-2025,ref to doc,3,,,,,,,N/A,,4500000,,,,,
222,12224,94775126,GEM/2025/B/6810421,,,,,,,"Thiruvananthapuram, Kerala, India",10-12-2025,ref to doc,1,,,,,,,N/A,,4500000,,,,,
223,12552,94859676,2025_AIMSM_880564_2,,,,,,,"Guntur, Andhra Pradesh, India",11-12-2025,ref to doc,,,,,,,,N/A,,4500000,,,,,
224,9179,93988099,FCSCA/2024-25/SE0062/CALL-3,,,,,,,"Bangalore, Karnataka, India",29-11-2025,,,,,,,,,N/A,,4477000,,,,,
225,9855,94166399,GEM/2025/B/6848900,,,,,,,"New Delhi, Delhi, India",01-12-2025,10-11-2025,80,,,,,,,N/A,,4400000,,,,,
226,10066,94208413,GEM/2025/B/6853508,,,,,,,"New Delhi, Delhi, India",04-12-2025,ref to doc,20,,,,,,,N/A,,4400000,,,,,
227,12989,94975456,2025_SCT_820104_1,,,,,,,"Thiruvananthapuram, Kerala, India",03-12-2025,ref to doc,,,,,,,,N/A,,4250000,,,,,
228,12095,94736042,2025_MES_740295_1,,,,,,,"Udhampur, Jammu And Kashmir, India",09-12-2025,,,,,,,,,N/A,,4200000,,,,,
229,12594,94864603,GEM/2025/B/6821219,,,,,,,"New Delhi, Delhi, India",12-12-2025,28-11-2025,51600,,,,,,,N/A,,4134400,,,,,
230,12077,94734580,2025_PGIME_886089_1,,,,,,,"Chandigarh Ut, Chandigarh, India",09-12-2025,ref to doc,,,,,,,,N/A,,4000000,,,,,
231,13217,95032537,GEM/2025/B/6919127,,,,,,,"Surat, Gujarat, India",11-12-2025,ref to doc,160,,,,,,,N/A,,4000000,,,,,
232,13225,95038008,GEM/2025/B/6919304,,,,,,,"Surat, Gujarat, India",11-12-2025,ref to doc,145,,,,,,,N/A,,4000000,,,,,
233,11589,94602683,GEM/2025/B/6808563,,,,,,,"Jabalpur, Madhya Pradesh, India",05-12-2025,ref to doc,134725,,,,,,,N/A,,3971727.1,,,,,
234,12414,94819258,GEM/2025/B/6912951,,,,,,,"Vadodara, Gujarat, India",01-12-2025,,112,,,,,,,N/A,,3886018.6,,,,,
235,9132,93964577,GEM/2025/B/6830226,,,,,,,"Allahabad, Uttar Pradesh, India",26-11-2025,,1,,,,,,,N/A,,3800000,,,,,
236,12399,94803517,KCADA/2025-26/IW/WORK_INDENT152,,,,,,,"Vijayapur, Karnataka, India",05-12-2025,ref to doc,,,,,,,,N/A,,3791895.04,,,,,
237,12922,94948551,GEM/2025/B/6858746,,,,,,,"Pune, Maharashtra, India",04-12-2025,,1132388,,,,,,,N/A,,3782941,,,,,
238,10501,94344814,GEM/2025/B/6864887,,,,,,,"New Delhi, Delhi, India",28-11-2025,ref to doc,175,,,,,,,N/A,,3712126.01,,,,,
239,11013,94469957,GEM/2025/B/6878656,,,,,,,"New Delhi, Delhi, India",02-12-2025,ref to doc,175,,,,,,,N/A,,3712126.01,,,,,
240,13114,94995517,GEM/2025/B/6904190,,,,,,,"Vadodara, Gujarat, India",10-12-2025,,2790,,,,,,,N/A,,3700000,,,,,
241,11172,94506423,GEM/2025/B/6731685,,,,,,,"Visakhapatnam, Andhra Pradesh, India",03-12-2025,ref to doc,14097,,,,,,,N/A,,3648015,,,,,
242,10700,94408912,H-MED-LP-2025-26PT4,,,,,,,"Multi Location, Multi State, India",29-11-2025,ref to doc,,,,,,,,N/A,,3600000,,,,,
243,12778,94912797,,,,,,,,"Nadia, West Bengal, India",12-12-2025,,,,,,,,,N/A,,3600000,,,,,
244,13121,94999560,2025_AIMSD_887079_1,,,,,,,"New Delhi, Delhi, India",26-12-2025,03-12-2025,,,,,,,,N/A,,3600000,,,,,
245,11710,94609988,GEM/2025/B/6868693,,,,,,,"Korba, Chhattisgarh, India",05-12-2025,,1167,,,,,,,N/A,,3533818,,,,,
246,12621,94867551,GEM/2025/B/6904404,,,,,,,"Gandhinagar, Gujarat, India",12-12-2025,28-11-2025,23,,,,,,,N/A,,3525994,,,,,
247,13015,94985705,,,,,,,,"Gandhinagar, Gujarat, India",12-12-2025,,,,,,,,,N/A,,3525994,,,,,
248,11861,94667470,GEM/2025/B/6886935,,,,,,,"Kamrup, Assam, India",27-11-2025,,1175,,,,,,,N/A,,3525000,,,,,
249,6027,93144207,GEM/2025/B/6602227,,,,,,,"Gandhinagar, Gujarat, India",08-12-2025,,73,,,,,,,N/A,,3523241,,,,,
250,10520,94351327,PHD/DCDHH/08/2025-26:240599:,,,,,,,"Surat, Gujarat, India",27-11-2025,ref to doc,,,,,,,,N/A,,3500000,,,,,
251,10577,94371047,GEM/2025/B/6867127,,,,,,,"Gautam Budhnagar, Uttar Pradesh, India",02-12-2025,ref to doc,1,,,,,,,N/A,,3500000,,,,,
252,10648,94389902,,,,,,,,"Surat, Gujarat, India",30-11-2025,,,,,,,,,N/A,,3500000,,,,,
253,12612,94867061,GEM/2025/B/6917513,,,,,,,"Lucknow, Uttar Pradesh, India",01-12-2025,,1,,,,,,,N/A,,3500000,,,,,
254,12681,94879459,,,,,,,,"Lucknow, Uttar Pradesh, India",01-12-2025,,,,,,,,,N/A,,3500000,,,,,
255,13097,95000610,GEM/2025/B/6828216,,,,,,,"New Delhi, Delhi, India",05-12-2025,,39,,,,,,,N/A,,3500000,,,,,
256,13100,94992268,GEM/2025/B/6885376,,,,,,,"New Delhi, Delhi, India",05-12-2025,01-12-2025,1,,,,,,,N/A,,3375000,,,,,
257,13005,94967414,ET-190:236307:,,,,,,,"Gandhinagar, Gujarat, India",04-12-2025,ref to doc,,,,,,,,N/A,,3282950,,,,,
258,8453,93838364,GEM/2025/B/6812515,,,,,,,"New Delhi, Delhi, India",28-11-2025,24-10-2025,4,,,,,,,N/A,,3200000,,,,,
259,12235,94768264,2025_PWD_120681_6,,,,,,,"Shimla, Himachal Pradesh, India",26-11-2025,ref to doc,,,,,,,,N/A,,3144110,,,,,
260,11335,94547639,GEM/2025/B/6825784,,,,,,,"New Delhi, Delhi, India",04-12-2025,ref to doc,200000,,,,,,,N/A,,3080000,,,,,
261,11581,94602627,GEM/2025/B/6877280,,,,,,,"Gwalior, Madhya Pradesh, India",28-11-2025,ref to doc,733891,,,,,,,N/A,,3061751,,,,,
262,11113,94499464,GEM/2025/B/6880355,,,,,,,"Ayodhya, Uttar Pradesh, India",02-12-2025,ref to doc,1,,,,,,,N/A,,3050000,,,,,
263,12992,94950491,GEM/2025/B/6899794,,,,,,,"Guwahati, Assam, India",15-12-2025,18-11-2025,22,,,,,,,N/A,,3033880,,,,,
264,8645,93856699,2025_LRIMH_882811_1,,,,,,,"Sonitpur, Assam, India",28-11-2025,30-10-2025,,,,,,,,N/A,,3000000,,,,,
265,9152,93973566,GEM/2025/B/6831697,,,,,,,"New Delhi, Delhi, India",27-11-2025,,1,,,,,,,N/A,,3000000,,,,,
266,11230,94516763,MCA2526GLOB00191,,,,,,,"Ajmer, Rajasthan, India",26-11-2025,ref to doc,,,,,,,,N/A,,3000000,,,,,
267,11630,94610237,2025_JLNMC_512848_1,,,,,,,"Ajmer, Rajasthan, India",26-11-2025,,,,,,,,,N/A,,3000000,,,,,
268,11930,94690350,2025_HFW_951262_2,,,,,,,"Nadia, West Bengal, India",12-12-2025,20-11-2025,,,,,,,,N/A,,3000000,,,,,
269,11992,94714652,GEM/2025/B/6766376,,,,,,,"Tinsukia, Assam, India",27-11-2025,ref to doc,16208,,,,,,,N/A,,3000000,,,,,
270,12582,94863683,GEM/2025/B/6886214,,,,,,,"Sangrur, Punjab, India",12-12-2025,,45,,,,,,,N/A,,3000000,,,,,
271,12744,94908116,GEM/2025/B/6920547,,,,,,,"Chandigarh Ut, Chandigarh, India",13-12-2025,ref to doc,1151,,,,,,,N/A,,3000000,,,,,
272,12905,94936529,GEM/2025/B/6820995,,,,,,,"South 24 Parganas, West Bengal, India",02-12-2025,04-11-2025,,,,,,,,N/A,,3000000,,,,,
273,13117,94997040,2025_TMC_887017_1,,,,,,,"Mumbai, Maharashtra, India",09-12-2025,01-12-2025,,,,,,,,N/A,,2900000,,,,,
274,12588,94864403,GEM/2025/B/6915945,,,,,,,"Kollam, Kerala, India",12-12-2025,,380,,,,,,,N/A,,2892050,,,,,
275,10229,94256144,2025_HBC_481525_1,,,,,,,"Panchkula, Haryana, India",05-12-2025,,,,,,,,,N/A,,2800000,,,,,
276,12896,94947674,89/EE/PVMD/2025-26,,,,,,,"New Delhi, Delhi, India",26-11-2025,,,,,,,,,N/A,,2778740,,,,,
277,12505,94847336,GEM/2025/B/6915129,,,,,,,"New Delhi, Delhi, India",12-12-2025,ref to doc,16500,,,,,,,N/A,,2772000,,,,,
278,10818,94428940,GEM/2025/B/6850274,,,,,,,"Kannauj, Uttar Pradesh, India",01-12-2025,,1,,,,,,,N/A,,2700000,,,,,
279,10404,94315092,178902,,,,,,,"Raipur, Chhattisgarh, India",27-11-2025,ref to doc,,,,,,,,N/A,,2660000,,,,,
280,11213,94511153,GEM/2025/B/6558598,,,,,,,"Pune, Maharashtra, India",03-12-2025,ref to doc,40,,,,,,,N/A,,2653314,,,,,
281,12888,94945616,GEM/2025/B/6910997,,,,,,,"Vadodara, Gujarat, India",09-12-2025,ref to doc,21024,,,,,,,N/A,,2650000,,,,,
282,12634,94861044,2025_WBPWD_955314_1,,,,,,,"Darjeeling, West Bengal, India",17-12-2025,ref to doc,,,,,,,,N/A,,2619966,,,,,
283,12545,94859028,GEM/2025/B/6768952,,,,,,,"Pune, Maharashtra, India",05-12-2025,ref to doc,5142,,,,,,,N/A,,2587076.09,,,,,
284,11281,94535502,GEM/2025/B/6883005,,,,,,,"New Delhi, Delhi, India",03-12-2025,ref to doc,3350,,,,,,,N/A,,2567650,,,,,
285,2006,91743905,MCA2526GLRC00102,,,,,,,"Ajmer, Rajasthan, India",03-08-2026,ref to doc,,,,,,,,N/A,,2500000,,,,,
286,9123,93964541,GEM/2025/B/6830091,,,,,,,"Raigarh, Chhattisgarh, India",26-11-2025,ref to doc,1,,,,,,,N/A,,2500000,,,,,
287,9672,94124694,GEM/2025/B/6843541,,,,,,,"Agra, Uttar Pradesh, India",28-11-2025,,1,,,,,,,N/A,,2500000,,,,,
288,10423,94335602,GEM/2025/B/6850513,,,,,,,"Bahraich, Uttar Pradesh, India",27-11-2025,,1,,,,,,,N/A,,2500000,,,,,
289,11155,94507094,MCA2526GLOB00179,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,ref to doc,,,,,,,,N/A,,2500000,,,,,
290,11156,94507106,MCA2526GLOB00173,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,ref to doc,,,,,,,,N/A,,2500000,,,,,
291,11182,94509934,GEM/2025/B/6882274,,,,,,,"Meerut, Uttar Pradesh, India",03-12-2025,ref to doc,1,,,,,,,N/A,,2500000,,,,,
292,11229,94516750,MCA2526GLOB00184,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,ref to doc,,,,,,,,N/A,,2500000,,,,,
293,11393,94554925,2025_NANBR_1245146_1,,,,,,,"Nandurbar, Maharashtra, India",28-11-2025,13-11-2025,,,,,,,,N/A,,2500000,,,,,
294,11788,94647865,2025_JLNMC_512572_1,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,20-11-2025,,,,,,,,N/A,,2500000,,,,,
295,11789,94647869,2025_JLNMC_512777_1,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,20-11-2025,,,,,,,,N/A,,2500000,,,,,
296,11793,94647900,2025_JLNMC_512759_1,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,20-11-2025,,,,,,,,N/A,,2500000,,,,,
297,12163,94734031,GEM/2025/B/6904198,,,,,,,"Lucknow, Uttar Pradesh, India",28-11-2025,ref to doc,1,,,,,,,N/A,,2500000,,,,,
298,12286,94777840,2025_NRHM_67338_1,,,,,,,"Dhalai, Tripura, India",27-11-2025,21-11-2025,,,,,,,,N/A,,2500000,,,,,
299,12345,94799470,644576-968/ESI/HL/SNR/S1/2025,,,,,,,"Hyderabad, Telangana, India",28-11-2025,ref to doc,,,,,,,,N/A,,2500000,,,,,
300,12652,94869187,2025_JLNMC_514801_1,,,,,,,"Ajmer, Rajasthan, India",11-12-2025,26-11-2025,,,,,,,,N/A,,2500000,,,,,
301,12851,94926644,MCA2526GLOB00233,,,,,,,"Ajmer, Rajasthan, India",11-12-2025,ref to doc,,,,,,,,N/A,,2500000,,,,,
302,13030,94987735,2025_MEDIC_515389_1,,,,,,,"Churu, Rajasthan, India",05-12-2025,ref to doc,,,,,,,,N/A,,2500000,,,,,
303,13098,94925234,,,,,,,,"Kanpur, Uttar Pradesh, India",27-12-2025,ref to doc,,,,,,,,N/A,,2500000,,,,,
304,12998,94951604,2025_PWDJK_296226_1,,,,,,,"Jammu, Jammu And Kashmir, India",03-12-2025,ref to doc,,,,,,,,N/A,,2490000,,,,,
305,12268,94781132,GEM/2025/B/6909163,,,,,,,"Gautam Budhnagar, Uttar Pradesh, India",03-12-2025,,1,,,,,,,N/A,,2420000,,,,,
306,11528,94593120,GEM/2025/B/6853099,,,,,,,"Gumla, Jharkhand, India",05-12-2025,28-11-2025,2400000,,,,,,,N/A,,2400000,,,,,
307,12996,94970938,648004-968/ESI/HL/SNR/S1/2025,,,,,,,"Hyderabad, Telangana, India",04-12-2025,ref to doc,,,,,,,,N/A,,2400000,,,,,
308,11757,94627889,MHS2526WSOB05063,,,,,,,"Udaipur, Rajasthan, India",04-12-2025,ref to doc,,,,,,,,N/A,,2371000,,,,,
309,12431,94825852,GEM/2025/B/6913258,,,,,,,"Danapur, Bihar, India",11-12-2025,ref to doc,252527,,,,,,,N/A,,2350000,,,,,
310,11041,94487458,MSC2526GLOB00045,,,,,,,"Jaipur, Rajasthan, India",04-12-2025,ref to doc,,,,,,,,N/A,,2327500,,,,,
311,12581,94863589,GEM/2025/B/6803448,,,,,,,"Rishikesh, Uttarakhand, India",12-12-2025,,70000,,,,,,,N/A,,2289000,,,,,
312,10368,94322719,GEM/2025/B/6856346,,,,,,,"Kolhapur, Maharashtra, India",28-11-2025,ref to doc,10,,,,,,,N/A,,2235579,,,,,
313,12258,94780633,GEM/2025/B/6909013,,,,,,,"Gautam Budhnagar, Uttar Pradesh, India",03-12-2025,ref to doc,1,,,,,,,N/A,,2200000,,,,,
